dist_razon_social,dist_web,loc_cp,loc_sucursal,loc_prov,loc_partido,loc_region,suc_domicilio,suc_tel,suc_correo,suc_lat,suc_lng,lat_decimal,long_decimal,coord_maps,link_maps,link_como_llegar,source_status
AFA,www.afascl.coop,4195,7 De Abril,Tucuman,Burruyacu,NOA,,,,"26°17'25,80""S","64°30'04,88""O",-26.2905,-64.5013556,"-26.2905,-64.5013556","https://www.google.com/maps/search/?api=1&query=-26.2905,-64.5013556","https://www.google.com/maps/dir/?api=1&destination=-26.2905,-64.5013556",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2717,Acevedo,Buenos Aires,Pergamino,NUCLEO,Ruta Nacional 188 Nº 9999,,afaacevedo@afascl.coop,"33°45'12,73''S","60°26'23,35''O",-33.7535361,-60.4398194,"-33.7535361,-60.4398194","https://www.google.com/maps/search/?api=1&query=-33.7535361,-60.4398194","https://www.google.com/maps/dir/?api=1&destination=-33.7535361,-60.4398194",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,5843,Adelia Maria,Cordoba,Rio Cuarto,CENTRO,,,,"33°37'57,44''S","64°01'17,76''O",-33.6326222,-64.0216,"-33.6326222,-64.0216","https://www.google.com/maps/search/?api=1&query=-33.6326222,-64.0216","https://www.google.com/maps/dir/?api=1&destination=-33.6326222,-64.0216",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2117,Alcorta,Santa Fe,Constitucion,NUCLEO,,,lucas_pizzichini_bbl@afascl.com.ar,"33°32'20,23""S","61°07'27,67""O",-33.5389528,-61.1243528,"-33.5389528,-61.1243528","https://www.google.com/maps/search/?api=1&query=-33.5389528,-61.1243528","https://www.google.com/maps/dir/?api=1&destination=-33.5389528,-61.1243528",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2214,Aldao,Santa Fe,San Lorenzo,NUCLEO,,(3476) 48 - 2035,,"32°42'16,71""S","60°48'46,04""O",-32.7046417,-60.8127889,"-32.7046417,-60.8127889","https://www.google.com/maps/search/?api=1&query=-32.7046417,-60.8127889","https://www.google.com/maps/dir/?api=1&destination=-32.7046417,-60.8127889",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2107,Alvarez,Santa Fe,Rosario,NUCLEO,,,,"33°07'54,41""S","60°48'13,94""O",-33.1317806,-60.8038722,"-33.1317806,-60.8038722","https://www.google.com/maps/search/?api=1&query=-33.1317806,-60.8038722","https://www.google.com/maps/dir/?api=1&destination=-33.1317806,-60.8038722",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2303,Angelica,Santa Fe,Castellanos,NUCLEO,zona rural,(3492) 48 - 7720,,"31°33'01,39""S","61°32'44,73""O",-31.5503861,-61.5457583,"-31.5503861,-61.5457583","https://www.google.com/maps/search/?api=1&query=-31.5503861,-61.5457583","https://www.google.com/maps/dir/?api=1&destination=-31.5503861,-61.5457583",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2183,Arequito,Santa Fe,Caseros,NUCLEO,,03464-471299,daniel_gorandi_csd@afascl.coop,"33°08'41,09""S","61°28'10,35""O",-33.1447472,-61.4695417,"-33.1447472,-61.4695417","https://www.google.com/maps/search/?api=1&query=-33.1447472,-61.4695417","https://www.google.com/maps/dir/?api=1&destination=-33.1447472,-61.4695417",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2508,Armstrong,Santa Fe,Belgrano,NUCLEO,,03471- 490342/343,carlospontoni_cdg@afascl.coop; mjuan_cdg@afascl.coop,"32°46'58,68""S","61°36'14,61""O",-32.7829667,-61.6040583,"-32.7829667,-61.6040583","https://www.google.com/maps/search/?api=1&query=-32.7829667,-61.6040583","https://www.google.com/maps/dir/?api=1&destination=-32.7829667,-61.6040583",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2740,Arrecifes,Buenos Aires,Arrecifes,NUCLEO,Ruta 8 Km 182 Est. Todd,Oficina 02478-492286/287 | Planta 02478-49167,afaarrecifes@afascl.coop; leonel_paladini_arr@afascl.coop,"34°03'46,02´´S","60°06'09,76''O",-34.0627833,-60.1027111,"-34.0627833,-60.1027111","https://www.google.com/maps/search/?api=1&query=-34.0627833,-60.1027111","https://www.google.com/maps/dir/?api=1&destination=-34.0627833,-60.1027111",RED_AFA_coordenadas_maps.xlsx
